bill_name,lobbying_companies,bill_no,date introduced,sponsor,committee,state,party,no_bills_in_state,properties.color,properties.article
No AI Audits Act,,H.R.7694,03/15/24,"Higgins, Clay",House - Ways and Means,Louisiana,Republican Party,4,#00AEC5,
Preparing Election Administrators for AI Act,,S.3897,03/11/24,"Klobuchar, Amy",Senate - Rules and Administration,Minnesota,Democratic Party,4,#00AEC5,
"To direct the Secretary of Defense to ensure that the audit of the financial statements of the Department of Defense for fiscal year 2024 is conducted using technology that uses artificial intelligence, and for other purposes.",,H.R.7603,03/08/24,"Schweikert, David",House - Armed Services; Appropriations,Arizona,Republican Party,7,#00AEC5,
TAME Extreme Weather Act,,S.3888,03/06/24,"Schatz, Brian","Senate - Commerce, Science, and Transportation",Hawaii,Democratic Party,5,#00AEC5,
AI Transparency in Elections Act of 2024,"LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, FOUNDATION FOR INDIVIDUAL RIGHTS AND EXPRESSION (FIRE), DEMOCRACY 21, PUBLIC CITIZEN, AMERICAN FEDERATION OF TEACHERS, AMERICAN CIVIL LIBERTIES UNION, AMERICAN SECURITY FUND, META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, CHAMBER OF COMMERCE OF THE U.S.A., NATIONAL ASSOCIATION OF BROADCASTERS, GOOGLE CLIENT SERVICES LLC, LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS",S.3875,03/06/2024,"Klobuchar, Amy",Senate - Rules and Administration,Minnesota,Democratic Party,4,#00AEC5,"Bill Name: AI Transparency in Elections Act of 2024
Sponsor: Klobuchar, Amy
Lobbying Companies: LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, FOUNDATION FOR INDIVIDUAL RIGHTS AND EXPRESSION (FIRE), DEMOCRACY 21, PUBLIC CITIZEN, AMERICAN FEDERATION OF TEACHERS, AMERICAN CIVIL LIBERTIES UNION, AMERICAN SECURITY FUND, META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, CHAMBER OF COMMERCE OF THE U.S.A., NATIONAL ASSOCIATION OF BROADCASTERS, GOOGLE CLIENT SERVICES LLC, LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS"
Promoting United States Leadership in Standards Act of 2024,,S.3849,02/29/2024,"Warner, Mark R.","Senate - Commerce, Science, and Transportation",Virginia,Democratic Party,6,#00AEC5,
HEALTH AI,,H.R.7381,02/15/24,"Lieu, Ted",House - Energy and Commerce,California,Democratic Party,35,#007281,
Technology Workforce Framework Act of 2024,,S.3792,02/08/24,"Peters, Gary C.","Senate - Commerce, Science, and Transportation",Michigan,Democratic Party,15,#0090A3,
Protecting Innovation in Investment Act,,S.3735,02/06/24,"Cruz, Ted","Senate - Banking, Housing, and Urban Affairs",Texas,Republican Party,13,#0090A3,
Artificial Intelligence Environmental Impacts Act of 2024,,H.R.7197,02/01/24,"Eshoo, Anna G.","House - Science, Space, and Technology; Energy and Commerce",California,Democratic Party,35,#007281,
Artificial Intelligence Environmental Impacts Act of 2024,,S.3732,02/01/2024,"Markey, Edward J.","Senate - Commerce, Science, and Transportation",Massachusetts,Democratic Party,8,#00AEC5,
QUIET Act,,H.R.7123,01/29/2024,"Sorensen, Eric",House - Energy and Commerce,Illinois,Democratic Party,5,#00AEC5,
R U REAL Act,,H.R.7120,01/29/24,"Schakowsky, Janice D.",House - Energy and Commerce,Illinois,Democratic Party,5,#00AEC5,
No AI FRAUD Act,,H.R.6943,01/10/24,"Salazar, Maria Elvira",House - Judiciary,Florida,Republican Party,16,#0090A3,
